ID,P@5,P@10,P@15,P@20,P@tot,R@5,R@10,R@15,R@20,R@tot
S0747563216300097,0.0,0.0,0.0,0.0,0.05194805194805195,0.0,0.0,0.0,0.0,0.5714285714285714
S0264410X19315622,0.0,0.0,0.0,0.05,0.14516129032258066,0.0,0.0,0.0,0.09090909090909091,0.8181818181818182
S0022283615006531,0.0,0.0,0.0,0.05,0.13043478260869565,0.0,0.0,0.0,0.1,0.9
S2352711017300249,0.0,0.0,0.0,0.0,0.14545454545454545,0.0,0.0,0.0,0.0,0.6666666666666666
S0264410X17305467,0.0,0.1,0.06666666666666667,0.05,0.07692307692307693,0.0,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.21428571428571427
S0167624516000068,0.0,0.0,0.0,0.0,0.08888888888888889,0.0,0.0,0.0,0.0,0.5
S0960148119319159,0.4,0.2,0.13333333333333333,0.1,0.08928571428571429,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.7142857142857143
S089062381530040X,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.75
S0010028517300762,0.0,0.0,0.0,0.05,0.1076923076923077,0.0,0.0,0.0,0.14285714285714285,1.0
S2001037016300769,0.2,0.1,0.06666666666666667,0.05,0.1511627906976744,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.7222222222222222
S0378426617301711,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.42857142857142855
S0145213417302764,0.0,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,0.0,0.0,0.8888888888888888
S0378113518301391,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.9090909090909091
S0048733316300506,0.0,0.0,0.06666666666666667,0.05,0.1,0.0,0.0,0.07142857142857142,0.07142857142857142,0.5714285714285714
S1529943018300603,0.0,0.0,0.0,0.0,0.07228915662650602,0.0,0.0,0.0,0.0,1.0
S0165212516300725,0.0,0.0,0.0,0.1,0.12195121951219512,0.0,0.0,0.0,0.4,1.0
